Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.38557052612305,35.25069620600811,26.767993469907726,28.90878995513679,855215656
1,2007-10-08,30.7276668548584,33.48011863436938,30.53451150138165,33.48011863436938,126671715
2,2007-10-09,32.8201789855957,33.109909879074095,29.08585756305142,30.743766243977518,116725709
3,2007-10-10,33.125999450683594,33.80204096867718,32.83626861907928,33.67327001215155,67931378
4,2007-10-11,36.828125,38.630900838195814,32.83626702237896,38.630900838195814,106320954
5,2007-10-12,36.5866813659668,37.954858773820646,35.73358338493293,36.05550748089854,99410791
6,2007-10-15,37.069557189941406,37.5685420195983,36.74763318359778,37.34319346860824,41814972
7,2007-10-16,40.85218048095703,41.49603311559861,36.860322090982606,37.11785965173882,138614496
8,2007-10-17,44.03923416137695,45.06938880023695,34.156159031125945,36.69936107341818,204876259
9,2007-10-18,42.49399948120117,48.11157803502763,40.675128780773825,44.747468687558325,146617799
10,2007-10-19,42.349143981933594,44.07143949273874,40.240537647000934,41.52823457225684,110266491
11,2007-10-22,41.78577423095703,43.08956554802296,40.40149749420485,41.49604331231755,72253405
12,2007-10-23,44.76356887817383,45.1659741058401,42.81592495644339,42.81592495644339,74594921
13,2007-10-24,44.07142639160156,46.1961265599384,43.57244136157235,45.713235990139744,63055170
14,2007-10-25,43.974857330322266,45.00501656382562,38.84016435974172,42.57448612322061,34522489
15,2007-10-26,45.29473114013672,46.01906036179189,43.540243056688624,44.74745842611391,62370025
16,2007-10-29,46.212223052978516,47.322863116257366,45.80981786575801,46.03516651715179,43657697
17,2007-10-30,47.24237060546875,48.51396806843824,45.45568938830007,46.839965515976886,79921711
18,2007-10-31,48.22423553466797,49.286587552362576,47.32284991332816,47.483811943308446,44655368
19,2007-11-01,47.14579772949219,49.78557725311005,46.759491406331854,49.41536538935732,50632492
20,2007-11-02,47.99890899658203,48.28864427674896,45.069397831864485,45.439614163994115,32001693
21,2007-11-05,48.98076248168945,50.05920905563524,47.67696729836697,47.96670247224413,38833135
22,2007-11-06,49.62461853027344,52.763378903079875,48.94857696131693,49.83386834851875,81880281
23,2007-11-07,48.900299072265625,51.25034402735297,47.80575764614791,50.54211339463045,33593141
24,2007-11-08,48.06327438354492,49.36706947005041,47.000926712799355,47.64477484449354,27990521
25,2007-11-12,49.22222900390625,50.09142620696939,45.343039254089796,46.61464176109383,35153735
26,2007-11-13,50.397239685058594,51.411299937604646,48.46569468349432,50.05922105633523,43830531
27,2007-11-14,49.7372932434082,51.990762246708975,49.47975130891987,51.28252738483562,36738579
28,2007-11-15,50.57429885864258,51.459590287268675,49.62462085229335,50.67087435885146,29242252
29,2007-11-16,50.220176696777344,51.36300559619937,49.640710650825355,50.34894547375265,18895294
30,2007-11-19,52.03904724121094,53.92230425330356,50.976699370992236,51.363005702719306,40716718
31,2007-11-20,51.23423385620117,53.2784528089781,50.60648010098517,51.82979432744132,26342171
32,2007-11-21,47.24237060546875,51.8458830827058,46.09953753148706,51.54005783451678,26814499
33,2007-11-22,45.61665344238281,48.64274334234919,43.63682118776109,46.74338774281182,34096185
34,2007-11-23,48.64276123046875,48.932492140993965,45.90640112819854,48.610567936771176,27664090
35,2007-11-26,49.02906036376953,50.445525778408005,48.64275399598222,50.445525778408005,20159123
36,2007-11-27,47.82183837890625,49.866057371448875,47.32285774988709,49.866057371448875,20573198
37,2007-11-28,47.113609313964844,49.09344634450187,46.79168516153616,48.868097691251485,16435311
38,2007-11-29,45.842018127441406,48.546180523641794,45.24645748648399,48.28864291119467,25530967
39,2007-11-30,47.61258316040039,47.902313956098375,46.03515605815607,46.67900421142924,18437721
40,2007-12-03,48.288639068603516,48.88419966216892,47.82184727101483,48.19205919683893,16851227
41,2007-12-04,47.66087341308594,49.01295635284191,47.30675603682842,48.61055123581632,14008727
42,2007-12-05,49.56025314331055,49.737314116272486,47.6448063064899,47.74138184346733,27725290
43,2007-12-06,48.64276123046875,51.39521143002304,48.015007285683716,50.63868867682418,24104710
44,2007-12-07,48.43349838256836,49.64071393349724,47.56430580572498,48.948577890906485,11742386
45,2007-12-10,48.48179244995117,49.07734865262381,47.854038591639736,48.90029211124154,8330010
46,2007-12-11,48.25643539428711,49.19001442220266,48.01499231639299,48.91637806064764,11685950
47,2007-12-12,48.22423553466797,48.658833888889646,47.32284991332816,47.644773973288736,16342131
48,2007-12-13,47.41942596435547,48.93247081121333,47.242369475762864,48.28862268342267,14620172
49,2007-12-14,46.95265197753906,47.69308022269544,46.71120883884428,47.2584816997696,10991851
50,2007-12-17,44.11971664428711,47.4838257990707,43.4597695089709,47.22628385612689,19355678
51,2007-12-18,43.92655944824219,45.39131254089077,42.55838185118833,43.62072976823285,21607783
52,2007-12-19,43.121742248535156,45.729328245593685,42.751530419050745,45.343017591816526,19526912
53,2007-12-20,42.68714904785156,44.039232134188076,42.49399369746414,43.68511471954037,17105204
54,2007-12-24,43.9909553527832,44.68309152833992,42.97689060209086,43.33100810500116,16711519
55,2007-12-26,45.32693862915039,45.874211514693656,44.23239722444028,44.23239722444028,20930094
56,2007-12-27,45.64884567260742,46.90434870517259,45.262535031952865,46.2605005483315,44565277
57,2007-12-28,46.002967834472656,46.19612317496375,45.06938441649492,45.55227058453504,18354518
58,2007-12-31,46.34099578857422,46.614632212477304,45.777628478458034,46.357094617260344,11982308
59,2008-01-01,47.19407653808594,47.6286748899303,46.14782334893722,46.58242170078159,16687746
60,2008-01-02,46.93654251098633,47.54819739354801,46.24440660791983,47.194080030051836,13437280
61,2008-01-03,48.86809158325195,49.06124692384192,46.08344888607014,46.64681608240534,31815218
62,2008-01-04,48.61054992675781,50.22017035151388,48.28862584180659,49.57632218161145,28011310
63,2008-01-07,48.20815658569336,49.31879232999904,47.693077050792105,48.30473208819789,15858063
64,2008-01-08,46.56633377075195,48.93247680341189,46.00296658994603,48.256435313169746,13282666
65,2008-01-09,45.82590866088867,46.823874318639156,45.71323434420508,46.61462451129842,13113527
66,2008-01-10,44.73137283325195,47.32286495972949,44.42554313250042,46.035168310461415,18023003
67,2008-01-11,45.40740203857422,45.84200041221145,43.6207208061489,45.34301547715585,11629440
68,2008-01-14,46.09954071044922,46.582426851138635,44.763556594483504,45.48788580551762,10264240
69,2008-01-15,44.69917297363281,47.03312280737536,44.32896111465905,46.839971831476184,11558334
70,2008-01-16,43.78168869018555,44.74746104218779,42.67105310520814,44.37724918052865,14834065
71,2008-01-17,44.95670700073242,45.95467245547628,43.00906382675057,43.94264272323695,16169395
72,2008-01-18,42.86421203613281,44.63479482964799,42.49399577711548,44.58650271490614,13254156
73,2008-01-21,35.57262420654297,42.49399282814056,30.9852032857848,42.49399282814056,33202389
74,2008-01-22,31.999267578125,33.80204364681696,25.415917126882906,32.06365196989518,58755707
75,2008-01-23,35.57262420654297,36.94080172476575,32.51434504816264,32.51434504816264,28425991
76,2008-01-24,35.65310287475586,38.18020793778027,33.96300134657952,37.48807199475449,29911930
77,2008-01-25,37.48807144165039,37.66512794782081,35.97502644458045,37.3432038519655,12550722
78,2008-01-28,37.89048385620117,38.18021472497536,33.96300738409289,36.972999133103045,13601109
79,2008-01-29,37.262725830078125,38.53432785770337,36.699358616943584,37.987055104108244,7679877
80,2008-01-30,35.202415466308594,37.5041722693116,34.7356237014921,37.343210194047394,9016102
81,2008-01-31,32.900657653808594,35.669206320392696,32.51434909603098,35.572628635151304,41538563
82,2008-02-01,34.043495178222656,34.28493834450258,33.1582035685296,33.46403114251317,9089201
83,2008-02-04,35.797977447509766,36.216479322068366,34.687339452741696,34.687339452741696,12009385
84,2008-02-05,36.90862274169922,37.391509111723906,35.08975162121496,35.862368939979056,14593303
85,2008-02-06,36.5866813659668,37.021279768795374,34.542464666497665,35.894545432915734,12429218
86,2008-02-07,34.86438751220703,37.327108067941936,34.63904108974965,36.08769946964521,11300078
87,2008-02-08,33.96300506591797,35.37947039042423,33.33525125444192,35.08973954142588,13514197
88,2008-02-11,31.564678192138672,34.445901838670295,31.226657309134513,34.445901838670295,15133331
89,2008-02-12,31.001298904418945,32.723593773150576,30.743759178741186,32.514343974080425,10237627
90,2008-02-13,30.55061149597168,31.95098032113531,29.922859803092262,31.54857510990645,10395753
91,2008-02-14,33.22258377075195,33.560604597393144,31.226652102275608,31.226652102275608,12514003
92,2008-02-15,34.17224884033203,34.445885180717006,32.20851108544397,33.09380230256463,12080990
93,2008-02-18,33.97909164428711,34.94486601102969,33.68936086249542,34.94486601102969,6977153
94,2008-02-19,33.608890533447266,34.671240709779326,33.35135076597465,34.590759668893384,7226542
95,2008-02-20,32.771881103515625,33.303057190378766,32.401669253461456,33.28696054837911,5604999
96,2008-02-21,32.99723815917969,33.5606054908504,32.59483292227204,33.30306570259187,3874365
97,2008-02-22,32.578731536865234,32.78798135634197,31.56466917746275,31.902689963930246,2691220
98,2008-02-25,32.85236740112305,33.25477259973796,32.0636536484754,32.9650417300104,6270186
99,2008-02-26,32.981136322021484,33.44792588672669,32.82017425259294,33.15819503503044,7139423
100,2008-02-27,34.91267776489258,36.63497043061831,33.46401928071084,33.46401928071084,43223132
101,2008-02-28,35.894554138183594,36.168190559392585,34.76781952904449,35.25070579010411,35763847
102,2008-02-29,35.37946319580078,36.37742868729784,34.80000161564102,35.66919616906799,16477462
103,2008-03-03,33.898616790771484,35.0253533929145,33.51230828376718,33.83423240346871,10049153
104,2008-03-04,33.029422760009766,34.25273487580181,32.19242134207983,34.12396609863958,11485198
105,2008-03-05,33.641090393066406,33.80205250627365,32.224622486929675,33.19039516617311,8581053
106,2008-03-07,31.91878318786621,33.15819187772526,30.582796828908553,33.15819187772526,14251925
107,2008-03-10,31.8055419921875,32.03203061213039,29.977452609626702,31.967319891325737,11713659
108,2008-03-11,34.42634963989258,34.74990548331908,30.802524632366435,31.546701316844597,19665129
109,2008-03-12,33.552738189697266,35.591139767069336,33.22918245342401,35.36465119052861,12262350
110,2008-03-13,28.94206428527832,33.00269106230772,28.149353237864343,32.67913535362833,47000084
111,2008-03-14,30.931943893432617,31.06136534390271,29.152386881075483,29.750963832316334,35798540
112,2008-03-17,29.718605041503906,30.349538356415255,29.087671726592554,30.349538356415255,19211273
113,2008-03-18,29.977449417114258,30.559850230838528,29.18473604035605,29.670069686084116,12632937
114,2008-03-19,30.15540313720703,33.585092645439616,29.961268816593606,31.384913186916144,16449023
